timestamp,driver_number
00:14:59.078,81
00:15:01.216,10
00:15:10.002,5
00:15:14.444,16
00:15:23.349,55
00:15:33.175,23
00:15:43.065,6
00:15:47.762,87
00:15:58.718,30
00:16:03.628,7
00:16:13.991,1
00:16:23.746,22
00:16:34.316,31
00:16:48.060,44
00:16:50.617,12
00:17:01.290,4
00:17:05.216,27
00:17:15.975,18
00:17:20.794,14
00:17:52.676,63
00:19:26.416,18
00:19:37.273,4
00:19:46.259,14
00:21:38.695,18
00:22:05.454,14
00:22:58.213,87
00:23:05.668,12
00:24:12.152,18
00:24:40.178,14
00:25:45.892,55
00:26:05.480,23
00:26:47.668,1
00:27:06.231,22
00:27:11.709,31
00:29:33.481,12
00:29:43.050,87
00:32:24.409,23
00:34:47.194,18
00:34:49.900,14
00:36:13.338,12
00:39:03.911,5
00:40:37.555,30
00:41:09.709,81
00:41:20.171,4
00:41:20.443,22
00:42:19.311,6
00:42:47.945,63
00:43:25.582,10
00:43:29.183,27
00:43:29.637,87
00:44:04.407,23
00:44:09.702,55
00:44:33.483,16
00:44:43.625,5
00:45:24.400,1
00:46:31.660,12
00:46:48.856,31
00:46:52.460,7
00:47:16.920,81
00:48:58.276,14
00:49:35.746,44
00:56:35.337,23
00:58:26.100,4
00:58:31.726,27
01:00:46.686,14
01:01:31.675,55
01:01:59.224,23
01:02:47.514,18
01:03:19.943,22
01:03:33.161,30
01:03:54.583,6
01:04:18.464,1
01:05:11.771,16
01:05:29.902,81
01:06:02.060,27
01:06:44.087,5
01:07:12.409,4
01:07:20.879,87
01:07:22.951,31
01:07:44.004,44
01:09:41.866,7
