timestamp,driver_number,racing_number,duration,lap
00:14:19.929,81,81,,1
00:14:26.332,10,10,,1
00:14:29.488,5,5,,1
00:14:35.522,16,16,,1
00:14:37.078,55,55,,1
00:14:38.563,23,23,,1
00:14:42.809,6,6,,1
00:14:47.929,87,87,,1
00:15:01.142,30,30,,1
00:15:21.758,7,7,,1
00:15:28.572,1,1,,1
00:15:40.041,22,22,,1
00:15:48.775,31,31,,1
00:15:56.471,44,44,,1
00:16:07.596,12,12,,1
00:16:14.792,4,4,,1
00:16:21.293,27,27,,1
00:16:26.496,18,18,,1
00:16:29.776,14,14,,1
00:17:14.366,63,63,,1
00:18:48.807,18,18,24.2,2
00:19:03.477,4,4,41.0,2
00:19:06.052,14,14,30.5,2
00:20:57.791,18,18,22.7,3
00:21:25.867,14,14,26.1,3
00:22:15.229,87,87,69.9,4
00:22:24.946,12,12,26.4,4
00:23:31.508,18,18,42.9,4
00:24:02.997,14,14,46.6,4
00:25:05.268,55,55,26.6,6
00:25:21.868,23,23,25.3,6
00:26:03.879,1,1,24.4,6
00:26:20.880,22,22,26.1,6
00:26:26.014,31,31,33.9,6
00:28:42.816,12,12,28.6,7
00:29:00.456,87,87,43.9,7
00:31:38.917,23,23,26.4,9
00:34:04.582,18,18,53.2,9
00:34:09.934,14,14,41.5,9
00:35:24.431,12,12,32.6,10
00:38:28.003,5,5,765.9,7
00:40:06.572,30,30,324.4,11
00:40:30.382,81,81,651.1,9
00:40:41.814,4,4,524.0,9
00:40:47.473,22,22,522.1,9
00:41:47.759,6,6,250.1,13
00:42:17.512,63,63,557.0,9
00:42:48.798,10,10,528.0,11
00:42:54.625,27,27,1101.6,5
00:42:56.000,87,87,507.0,10
00:43:29.643,23,23,393.5,12
00:43:35.737,55,55,314.8,13
00:43:55.728,16,16,576.5,11
00:44:07.860,5,5,26.6,10
00:44:45.407,1,1,806.3,9
00:45:59.686,12,12,309.1,13
00:46:08.772,31,31,833.5,9
00:46:13.532,7,7,421.8,13
00:46:20.474,81,81,24.3,12
00:48:26.720,14,14,56.5,17
00:48:48.217,44,44,575.3,12
00:56:05.324,23,23,22.3,20
00:57:52.662,27,27,548.8,8
00:57:53.929,4,4,28.3,19
01:00:10.633,14,14,513.8,19
01:00:54.477,55,55,300.2,21
01:01:21.088,23,23,225.5,21
01:01:57.658,18,18,751.4,18
01:02:37.102,22,22,467.0,18
01:02:54.013,30,30,623.1,19
01:03:11.708,6,6,538.2,21
01:03:38.850,1,1,290.9,18
01:04:32.501,16,16,353.5,20
01:04:47.357,81,81,314.9,20
01:05:19.484,27,27,98.4,11
01:06:06.912,5,5,667.9,17
01:06:31.388,4,4,424.8,20
01:06:34.410,87,87,391.2,21
01:06:41.009,31,31,307.9,18
01:06:54.764,44,44,353.6,19
01:08:52.329,7,7,499.1,22
01:09:10.650,22,22,29.6,21
01:09:19.762,10,10,479.0,22
