timestamp,driver_number,action
1900-01-01 00:00:04.334,1,in_pit
1900-01-01 00:00:04.334,4,in_pit
1900-01-01 00:00:04.334,5,in_pit
1900-01-01 00:00:04.334,6,in_pit
1900-01-01 00:00:04.334,7,in_pit
1900-01-01 00:00:04.334,10,in_pit
1900-01-01 00:00:04.334,12,in_pit
1900-01-01 00:00:04.334,14,in_pit
1900-01-01 00:00:04.334,16,in_pit
1900-01-01 00:00:04.334,18,in_pit
1900-01-01 00:00:04.334,22,in_pit
1900-01-01 00:00:04.334,23,in_pit
1900-01-01 00:00:04.334,27,in_pit
1900-01-01 00:00:04.334,30,in_pit
1900-01-01 00:00:04.334,31,in_pit
1900-01-01 00:00:04.334,44,in_pit
1900-01-01 00:00:04.334,55,in_pit
1900-01-01 00:00:04.334,63,in_pit
1900-01-01 00:00:04.334,81,in_pit
1900-01-01 00:00:04.334,87,in_pit
1900-01-01 00:14:19.766,81,pit_out
1900-01-01 00:14:26.191,10,pit_out
1900-01-01 00:14:29.270,5,pit_out
1900-01-01 00:14:35.439,16,pit_out
1900-01-01 00:14:36.906,55,pit_out
1900-01-01 00:14:38.453,23,pit_out
1900-01-01 00:14:42.746,6,pit_out
1900-01-01 00:14:47.837,87,pit_out
1900-01-01 00:15:01.064,30,pit_out
1900-01-01 00:15:21.552,7,pit_out
1900-01-01 00:15:28.494,1,pit_out
1900-01-01 00:15:40.025,22,pit_out
1900-01-01 00:15:48.596,31,pit_out
1900-01-01 00:15:56.346,44,pit_out
1900-01-01 00:16:07.539,12,pit_out
1900-01-01 00:16:14.690,4,pit_out
1900-01-01 00:16:21.076,27,pit_out
1900-01-01 00:16:26.324,18,pit_out
1900-01-01 00:16:29.683,14,pit_out
1900-01-01 00:17:14.337,63,pit_out
1900-01-01 00:18:22.436,4,in_pit
1900-01-01 00:18:24.418,18,in_pit
1900-01-01 00:18:35.447,14,in_pit
1900-01-01 00:18:48.807,18,pit_out
1900-01-01 00:19:03.366,4,pit_out
1900-01-01 00:19:05.938,14,pit_out
1900-01-01 00:20:34.981,18,in_pit
1900-01-01 00:20:57.743,18,pit_out
1900-01-01 00:20:59.642,14,in_pit
1900-01-01 00:21:05.212,87,in_pit
1900-01-01 00:21:25.867,14,pit_out
1900-01-01 00:21:58.518,12,in_pit
1900-01-01 00:22:15.219,87,pit_out
1900-01-01 00:22:24.891,12,pit_out
1900-01-01 00:22:48.521,18,in_pit
1900-01-01 00:23:16.245,14,in_pit
1900-01-01 00:23:31.467,18,pit_out
1900-01-01 00:24:02.994,14,pit_out
1900-01-01 00:24:33.040,27,in_pit
1900-01-01 00:24:38.592,55,in_pit
1900-01-01 00:24:56.578,23,in_pit
1900-01-01 00:25:05.218,55,pit_out
1900-01-01 00:25:21.846,23,pit_out
1900-01-01 00:25:39.404,1,in_pit
1900-01-01 00:25:41.931,5,in_pit
1900-01-01 00:25:52.011,31,in_pit
1900-01-01 00:25:54.619,22,in_pit
1900-01-01 00:26:03.879,1,pit_out
1900-01-01 00:26:20.729,22,pit_out
1900-01-01 00:26:25.929,31,pit_out
1900-01-01 00:28:13.356,12,in_pit
1900-01-01 00:28:16.512,87,in_pit
1900-01-01 00:28:42.795,12,pit_out
1900-01-01 00:29:00.340,87,pit_out
1900-01-01 00:29:39.180,81,in_pit
1900-01-01 00:31:12.946,23,in_pit
1900-01-01 00:31:18.878,1,in_pit
1900-01-01 00:31:38.759,23,pit_out
1900-01-01 00:31:57.780,4,in_pit
1900-01-01 00:32:05.313,22,in_pit
1900-01-01 00:32:15.169,31,in_pit
1900-01-01 00:33:00.420,63,in_pit
1900-01-01 00:33:11.235,18,in_pit
1900-01-01 00:33:28.280,14,in_pit
1900-01-01 00:34:00.686,10,in_pit
1900-01-01 00:34:04.482,18,pit_out
1900-01-01 00:34:09.864,14,pit_out
1900-01-01 00:34:19.195,16,in_pit
1900-01-01 00:34:28.805,87,in_pit
1900-01-01 00:34:42.647,30,in_pit
1900-01-01 00:34:51.820,12,in_pit
1900-01-01 00:35:24.370,12,pit_out
1900-01-01 00:36:55.953,23,in_pit
1900-01-01 00:37:37.534,6,in_pit
1900-01-01 00:38:20.962,55,in_pit
1900-01-01 00:38:27.932,5,pit_out
1900-01-01 00:39:11.896,7,in_pit
1900-01-01 00:39:12.945,44,in_pit
1900-01-01 00:40:06.471,30,pit_out
1900-01-01 00:40:30.267,81,pit_out
1900-01-01 00:40:41.782,4,pit_out
1900-01-01 00:40:47.372,22,pit_out
1900-01-01 00:40:50.522,12,in_pit
1900-01-01 00:41:47.690,6,pit_out
1900-01-01 00:42:17.459,63,pit_out
1900-01-01 00:42:48.659,10,pit_out
1900-01-01 00:42:54.578,27,pit_out
1900-01-01 00:42:55.891,87,pit_out
1900-01-01 00:43:29.624,23,pit_out
1900-01-01 00:43:35.629,55,pit_out
1900-01-01 00:43:41.272,5,in_pit
1900-01-01 00:43:55.618,16,pit_out
1900-01-01 00:44:07.860,5,pit_out
1900-01-01 00:44:45.235,1,pit_out
1900-01-01 00:45:55.976,81,in_pit
1900-01-01 00:45:59.656,12,pit_out
1900-01-01 00:46:08.746,31,pit_out
1900-01-01 00:46:13.425,7,pit_out
1900-01-01 00:46:20.369,81,pit_out
1900-01-01 00:47:30.160,14,in_pit
1900-01-01 00:48:26.562,14,pit_out
1900-01-01 00:48:43.604,27,in_pit
1900-01-01 00:48:48.199,44,pit_out
1900-01-01 00:49:26.224,18,in_pit
1900-01-01 00:51:36.600,14,in_pit
1900-01-01 00:52:30.798,30,in_pit
1900-01-01 00:54:13.336,6,in_pit
1900-01-01 00:54:49.822,22,in_pit
1900-01-01 00:54:58.831,5,in_pit
1900-01-01 00:55:42.916,23,in_pit
1900-01-01 00:55:54.034,55,in_pit
1900-01-01 00:56:05.205,23,pit_out
1900-01-01 00:57:25.564,4,in_pit
1900-01-01 00:57:35.286,23,in_pit
1900-01-01 00:57:52.511,27,pit_out
1900-01-01 00:57:53.921,4,pit_out
1900-01-01 00:58:38.849,16,in_pit
1900-01-01 00:58:47.830,1,in_pit
1900-01-01 00:59:26.475,4,in_pit
1900-01-01 00:59:32.385,81,in_pit
1900-01-01 01:00:03.024,87,in_pit
1900-01-01 01:00:10.611,14,pit_out
1900-01-01 01:00:33.085,7,in_pit
1900-01-01 01:00:54.303,55,pit_out
1900-01-01 01:01:01.047,44,in_pit
1900-01-01 01:01:20.588,10,in_pit
1900-01-01 01:01:20.920,23,pit_out
1900-01-01 01:01:33.028,31,in_pit
1900-01-01 01:01:57.564,18,pit_out
1900-01-01 01:02:36.989,22,pit_out
1900-01-01 01:02:54.008,30,pit_out
1900-01-01 01:03:11.599,6,pit_out
1900-01-01 01:03:38.705,1,pit_out
1900-01-01 01:03:40.987,27,in_pit
1900-01-01 01:04:32.488,16,pit_out
1900-01-01 01:04:47.328,81,pit_out
1900-01-01 01:05:19.376,27,pit_out
1900-01-01 01:06:06.849,5,pit_out
1900-01-01 01:06:18.488,55,in_pit
1900-01-01 01:06:31.377,4,pit_out
1900-01-01 01:06:34.308,87,pit_out
1900-01-01 01:06:40.962,31,pit_out
1900-01-01 01:06:54.752,44,pit_out
1900-01-01 01:08:20.750,30,in_pit
1900-01-01 01:08:40.111,22,in_pit
1900-01-01 01:08:42.590,6,in_pit
1900-01-01 01:08:52.287,7,pit_out
1900-01-01 01:09:10.604,22,pit_out
1900-01-01 01:09:19.665,10,pit_out
1900-01-01 01:09:55.104,1,in_pit
1900-01-01 01:10:05.045,4,in_pit
1900-01-01 01:10:14.205,16,in_pit
1900-01-01 01:10:18.940,81,in_pit
1900-01-01 01:10:41.190,31,in_pit
1900-01-01 01:10:54.499,18,in_pit
1900-01-01 01:11:27.390,44,in_pit
1900-01-01 01:11:28.561,27,in_pit
1900-01-01 01:11:30.120,12,in_pit
1900-01-01 01:11:34.430,7,in_pit
1900-01-01 01:11:50.905,10,in_pit
1900-01-01 01:11:53.418,22,in_pit
1900-01-01 01:11:58.340,14,in_pit
1900-01-01 01:12:09.074,5,in_pit
1900-01-01 01:12:14.631,23,in_pit
1900-01-01 01:12:21.768,63,in_pit
1900-01-01 01:12:46.473,87,in_pit
