driver_number,stint_number,compound,new_tire,lap_start,lap_end,stint_length
1,1,MEDIUM,True,1,0,0
1,2,MEDIUM,False,1,0,0
1,3,MEDIUM,False,6,5,0
1,4,SOFT,True,9,20,12
10,1,MEDIUM,True,1,0,0
10,2,MEDIUM,False,1,0,0
10,3,SOFT,True,11,22,12
12,1,MEDIUM,True,1,0,0
12,2,MEDIUM,False,1,0,0
12,3,MEDIUM,False,4,3,0
12,4,MEDIUM,False,7,6,0
12,5,MEDIUM,False,10,28,19
14,1,HARD,True,1,0,0
14,2,MEDIUM,True,1,0,0
14,3,SOFT,True,2,1,0
14,4,MEDIUM,True,3,2,0
14,5,MEDIUM,False,4,3,0
14,6,MEDIUM,False,9,8,0
14,7,SOFT,True,17,24,8
16,1,MEDIUM,True,1,0,0
16,2,MEDIUM,False,1,0,0
16,3,SOFT,True,11,22,12
18,1,HARD,True,1,0,0
18,2,MEDIUM,True,1,0,0
18,3,SOFT,True,2,1,0
18,4,MEDIUM,True,3,2,0
18,5,MEDIUM,False,4,3,0
18,6,SOFT,True,9,21,13
22,1,MEDIUM,True,1,0,0
22,2,MEDIUM,False,1,0,0
22,3,MEDIUM,False,6,5,0
22,4,SOFT,True,9,8,0
22,5,SOFT,False,18,21,4
23,1,MEDIUM,True,1,0,0
23,2,MEDIUM,False,1,0,0
23,3,MEDIUM,False,6,5,0
23,4,MEDIUM,False,9,8,0
23,5,MEDIUM,False,12,11,0
23,6,SOFT,True,20,25,6
27,1,MEDIUM,True,1,0,0
27,2,SOFT,True,1,0,0
27,3,SOFT,False,5,4,0
27,4,SOFT,False,8,13,6
30,1,HARD,True,1,0,0
30,2,HARD,False,1,0,0
30,3,SOFT,True,11,21,11
31,1,MEDIUM,True,1,0,0
31,2,MEDIUM,False,1,0,0
31,3,MEDIUM,False,6,5,0
31,4,SOFT,True,9,19,11
4,1,MEDIUM,True,1,0,0
4,2,MEDIUM,False,1,0,0
4,3,MEDIUM,False,2,1,0
4,4,MEDIUM,False,9,8,0
4,5,SOFT,True,19,21,3
44,1,MEDIUM,True,1,0,0
44,2,MEDIUM,False,1,0,0
44,3,SOFT,True,12,20,9
5,1,MEDIUM,True,1,0,0
5,2,MEDIUM,False,1,0,0
5,3,MEDIUM,False,7,6,0
5,4,SOFT,True,10,19,10
55,1,MEDIUM,True,1,0,0
55,2,MEDIUM,False,1,0,0
55,3,MEDIUM,False,6,5,0
55,4,SOFT,True,13,23,11
6,1,HARD,True,1,0,0
6,2,HARD,False,1,0,0
6,3,SOFT,True,13,23,11
63,1,MEDIUM,True,1,0,0
63,2,MEDIUM,False,1,26,26
7,1,MEDIUM,True,1,0,0
7,2,MEDIUM,False,1,0,0
7,3,SOFT,True,13,22,10
81,1,MEDIUM,True,1,0,0
81,2,MEDIUM,False,1,0,0
81,3,MEDIUM,False,9,8,0
81,4,SOFT,True,12,22,11
87,1,MEDIUM,True,1,0,0
87,2,MEDIUM,False,1,0,0
87,3,MEDIUM,False,4,3,0
87,4,MEDIUM,False,7,6,0
87,5,SOFT,True,10,22,13
