timestamp,driver_number,grid_position
00:00:04.334,1,1
00:00:04.334,4,2
00:00:04.334,5,3
00:00:04.334,6,4
00:00:04.334,7,5
00:00:04.334,10,6
00:00:04.334,12,7
00:00:04.334,14,8
00:00:04.334,16,9
00:00:04.334,18,10
00:00:04.334,22,11
00:00:04.334,23,12
00:00:04.334,27,13
00:00:04.334,30,14
00:00:04.334,31,15
00:00:04.334,44,16
00:00:04.334,55,17
00:00:04.334,63,18
00:00:04.334,81,19
00:00:04.334,87,20
00:14:19.766,1,2
00:14:19.766,4,3
00:14:19.766,5,4
00:14:19.766,6,5
00:14:19.766,7,6
00:14:19.766,10,7
00:14:19.766,12,8
00:14:19.766,14,9
00:14:19.766,16,10
00:14:19.766,18,11
00:14:19.766,22,12
00:14:19.766,23,13
00:14:19.766,27,14
00:14:19.766,30,15
00:14:19.766,31,16
00:14:19.766,44,17
00:14:19.766,55,18
00:14:19.766,63,19
00:14:19.766,81,1
00:14:26.191,1,3
00:14:26.191,4,4
00:14:26.191,5,5
00:14:26.191,6,6
00:14:26.191,7,7
00:14:26.191,10,2
00:14:29.270,1,4
00:14:29.270,4,5
00:14:29.270,5,3
00:14:35.439,1,5
00:14:35.439,4,6
00:14:35.439,6,7
00:14:35.439,7,8
00:14:35.439,12,9
00:14:35.439,14,10
00:14:35.439,16,4
00:14:36.906,1,6
00:14:36.906,4,7
00:14:36.906,6,8
00:14:36.906,7,9
00:14:36.906,12,10
00:14:36.906,14,11
00:14:36.906,18,12
00:14:36.906,22,13
00:14:36.906,23,14
00:14:36.906,27,15
00:14:36.906,30,16
00:14:36.906,31,17
00:14:36.906,44,18
00:14:36.906,55,5
00:14:38.453,1,7
00:14:38.453,4,8
00:14:38.453,6,9
00:14:38.453,7,10
00:14:38.453,12,11
00:14:38.453,14,12
00:14:38.453,18,13
00:14:38.453,22,14
00:14:38.453,23,6
00:14:42.746,1,8
00:14:42.746,4,9
00:14:42.746,6,7
00:14:47.837,1,9
00:14:47.837,4,10
00:14:47.837,7,11
00:14:47.837,12,12
00:14:47.837,14,13
00:14:47.837,18,14
00:14:47.837,22,15
00:14:47.837,27,16
00:14:47.837,30,17
00:14:47.837,31,18
00:14:47.837,44,19
00:14:47.837,63,20
00:14:47.837,87,8
00:15:01.064,1,10
00:15:01.064,4,11
00:15:01.064,7,12
00:15:01.064,12,13
00:15:01.064,14,14
00:15:01.064,18,15
00:15:01.064,22,16
00:15:01.064,27,17
00:15:01.064,30,9
00:15:21.552,1,11
00:15:21.552,4,12
00:15:21.552,7,10
00:15:40.025,4,13
00:15:40.025,12,14
00:15:40.025,14,15
00:15:40.025,18,16
00:15:40.025,22,12
00:15:48.596,4,14
00:15:48.596,12,15
00:15:48.596,14,16
00:15:48.596,18,17
00:15:48.596,27,18
00:15:48.596,31,13
00:15:56.346,4,15
00:15:56.346,12,16
00:15:56.346,14,17
00:15:56.346,18,18
00:15:56.346,27,19
00:15:56.346,44,14
00:16:07.539,4,16
00:16:07.539,12,15
00:16:21.076,14,18
00:16:21.076,18,19
00:16:21.076,27,17
00:16:26.324,14,19
00:16:26.324,18,18
00:17:40.170,10,1
00:17:40.170,81,2
00:17:47.759,10,2
00:17:47.759,81,1
