driver_number,stint_number,timestamp,compound,new_tire,total_laps,start_laps
1,1,1900-01-01 00:15:32.416,MEDIUM,True,0,0
1,2,1900-01-01 00:26:07.522,MEDIUM,False,5,5
1,3,1900-01-01 00:44:47.647,MEDIUM,False,8,8
1,4,1900-01-01 01:03:42.918,SOFT,True,0,0
10,1,1900-01-01 00:14:27.395,MEDIUM,True,0,0
10,2,1900-01-01 00:42:52.622,MEDIUM,False,10,10
10,3,1900-01-01 01:09:22.896,SOFT,True,0,0
12,1,1900-01-01 00:16:12.433,MEDIUM,True,0,0
12,2,1900-01-01 00:22:27.492,MEDIUM,False,3,3
12,3,1900-01-01 00:28:42.541,MEDIUM,False,6,6
12,4,1900-01-01 00:35:42.577,MEDIUM,False,9,9
12,5,1900-01-01 00:46:02.660,MEDIUM,False,12,12
14,1,1900-01-01 00:16:32.445,HARD,True,0,0
14,2,1900-01-01 00:19:07.467,MEDIUM,True,0,0
14,3,1900-01-01 00:21:27.476,SOFT,True,0,0
14,4,1900-01-01 00:24:07.492,MEDIUM,True,0,0
14,5,1900-01-01 00:34:12.569,MEDIUM,False,5,5
14,6,1900-01-01 00:48:32.679,MEDIUM,False,13,13
14,7,1900-01-01 01:00:12.861,SOFT,True,0,0
16,1,1900-01-01 00:14:37.391,MEDIUM,True,0,0
16,2,1900-01-01 00:43:57.638,MEDIUM,False,10,10
16,3,1900-01-01 01:04:38.120,SOFT,True,0,0
18,1,1900-01-01 00:16:27.433,HARD,True,0,0
18,2,1900-01-01 00:18:52.465,MEDIUM,True,0,0
18,3,1900-01-01 00:21:02.481,SOFT,True,0,0
18,4,1900-01-01 00:23:32.494,MEDIUM,True,0,0
18,5,1900-01-01 00:34:07.569,MEDIUM,False,5,5
18,6,1900-01-01 01:02:02.894,SOFT,True,0,0
22,1,1900-01-01 00:15:42.424,MEDIUM,True,0,0
22,2,1900-01-01 00:26:22.518,MEDIUM,False,5,5
22,3,1900-01-01 00:43:02.628,MEDIUM,False,9,8
22,4,1900-01-01 01:02:37.901,SOFT,True,0,0
22,5,1900-01-01 01:09:12.889,SOFT,False,3,3
23,1,1900-01-01 00:14:42.395,MEDIUM,True,0,0
23,2,1900-01-01 00:25:22.510,MEDIUM,False,5,5
23,3,1900-01-01 00:31:47.556,MEDIUM,False,8,8
23,4,1900-01-01 00:45:07.645,MEDIUM,False,12,11
23,5,1900-01-01 00:56:07.722,MEDIUM,False,19,19
23,6,1900-01-01 01:01:22.878,SOFT,True,0,0
27,1,1900-01-01 00:16:22.433,MEDIUM,True,0,0
27,2,1900-01-01 00:42:57.734,SOFT,True,0,0
27,3,1900-01-01 00:57:57.837,SOFT,False,3,3
27,4,1900-01-01 01:05:22.928,SOFT,False,6,6
30,1,1900-01-01 00:15:02.413,HARD,True,0,0
30,2,1900-01-01 00:40:07.597,HARD,False,10,10
30,3,1900-01-01 01:02:57.901,SOFT,True,0,0
31,1,1900-01-01 00:15:52.424,MEDIUM,True,0,0
31,2,1900-01-01 00:26:27.514,MEDIUM,False,5,5
31,3,1900-01-01 00:46:12.657,MEDIUM,False,8,8
31,4,1900-01-01 01:06:42.801,SOFT,True,0,0
4,1,1900-01-01 00:16:17.437,MEDIUM,True,0,0
4,2,1900-01-01 00:19:07.467,MEDIUM,False,1,1
4,3,1900-01-01 00:40:42.595,MEDIUM,False,8,8
4,4,1900-01-01 00:57:57.837,MEDIUM,False,18,18
4,5,1900-01-01 01:06:32.803,SOFT,True,0,0
44,1,1900-01-01 00:15:57.433,MEDIUM,True,0,0
44,2,1900-01-01 00:48:52.683,MEDIUM,False,11,11
44,3,1900-01-01 01:06:57.802,SOFT,True,0,0
5,1,1900-01-01 00:14:32.392,MEDIUM,True,0,0
5,2,1900-01-01 00:38:32.595,MEDIUM,False,6,6
5,3,1900-01-01 00:44:37.646,MEDIUM,False,9,9
5,4,1900-01-01 01:06:07.798,SOFT,True,0,0
55,1,1900-01-01 00:14:37.391,MEDIUM,True,0,0
55,2,1900-01-01 00:25:07.497,MEDIUM,False,5,5
55,3,1900-01-01 00:45:02.645,MEDIUM,False,12,12
55,4,1900-01-01 01:00:57.876,SOFT,True,0,0
6,1,1900-01-01 00:14:47.407,HARD,True,0,0
6,2,1900-01-01 00:41:52.620,HARD,False,12,12
6,3,1900-01-01 01:03:12.912,SOFT,True,0,0
63,1,1900-01-01 00:17:17.453,MEDIUM,True,0,0
63,2,1900-01-01 00:42:22.622,MEDIUM,False,8,8
7,1,1900-01-01 00:15:22.416,MEDIUM,True,0,0
7,2,1900-01-01 00:46:17.661,MEDIUM,False,12,12
7,3,1900-01-01 01:08:52.878,SOFT,True,0,0
81,1,1900-01-01 00:14:22.390,MEDIUM,True,0,0
81,2,1900-01-01 00:40:32.597,MEDIUM,False,8,8
81,3,1900-01-01 00:46:22.661,MEDIUM,False,11,11
81,4,1900-01-01 01:04:47.930,SOFT,True,0,0
87,1,1900-01-01 00:14:52.411,MEDIUM,True,0,0
87,2,1900-01-01 00:22:17.492,MEDIUM,False,3,3
87,3,1900-01-01 00:29:02.531,MEDIUM,False,6,6
87,4,1900-01-01 00:42:57.734,MEDIUM,False,9,9
87,5,1900-01-01 01:06:37.803,SOFT,True,0,0
