timestamp,driver_number,stint_number,compound,new_tire,total_laps,start_laps
00:14:22.390,81,1,MEDIUM,True,0,0
00:14:27.395,10,1,MEDIUM,True,0,0
00:14:32.392,5,1,MEDIUM,True,0,0
00:14:37.391,16,1,MEDIUM,True,0,0
00:14:37.391,55,1,MEDIUM,True,0,0
00:14:42.395,23,1,MEDIUM,True,0,0
00:14:47.407,6,1,HARD,True,0,0
00:14:52.411,87,1,MEDIUM,True,0,0
00:15:02.413,30,1,HARD,True,0,0
00:15:22.416,7,1,MEDIUM,True,0,0
00:15:32.416,1,1,MEDIUM,True,0,0
00:15:42.424,22,1,MEDIUM,True,0,0
00:15:52.424,31,1,MEDIUM,True,0,0
00:15:57.433,44,1,MEDIUM,True,0,0
00:16:12.433,12,1,MEDIUM,True,0,0
00:16:17.437,4,1,MEDIUM,True,0,0
00:16:22.433,27,1,MEDIUM,True,0,0
00:16:27.433,18,1,HARD,True,0,0
00:16:32.445,14,1,HARD,True,0,0
00:17:17.453,63,1,MEDIUM,True,0,0
00:18:52.465,18,2,MEDIUM,True,0,0
00:19:07.467,4,2,MEDIUM,False,1,1
00:19:07.467,14,2,MEDIUM,True,0,0
00:21:02.481,18,3,SOFT,True,0,0
00:21:27.476,14,3,SOFT,True,0,0
00:22:17.492,87,2,MEDIUM,False,3,3
00:22:27.492,12,2,MEDIUM,False,3,3
00:23:32.494,18,4,MEDIUM,True,0,0
00:24:07.492,14,4,MEDIUM,True,0,0
00:25:07.497,55,2,MEDIUM,False,5,5
00:25:22.510,23,2,MEDIUM,False,5,5
00:26:07.522,1,2,MEDIUM,False,5,5
00:26:22.518,22,2,MEDIUM,False,5,5
00:26:27.514,31,2,MEDIUM,False,5,5
00:28:42.541,12,3,MEDIUM,False,6,6
00:29:02.531,87,3,MEDIUM,False,6,6
00:31:42.557,23,3,UNKNOWN,False,0,0
00:31:47.556,23,3,MEDIUM,False,8,8
00:34:07.569,18,5,MEDIUM,False,5,5
00:34:12.569,14,5,MEDIUM,False,5,5
00:35:27.581,12,4,UNKNOWN,False,0,0
00:35:42.577,12,4,MEDIUM,False,9,9
00:38:32.595,5,2,MEDIUM,False,6,6
00:40:07.597,30,2,HARD,False,10,10
00:40:32.597,81,2,MEDIUM,False,8,8
00:40:42.595,4,3,MEDIUM,False,8,8
00:40:47.599,22,3,UNKNOWN,False,0,0
00:40:52.599,22,3,MEDIUM,False,8,8
00:41:47.619,6,2,UNKNOWN,False,0,0
00:41:52.620,6,2,HARD,False,12,12
00:42:17.623,63,2,UNKNOWN,False,0,0
00:42:22.622,63,2,MEDIUM,False,8,8
00:42:52.622,10,2,MEDIUM,False,10,10
00:42:52.622,22,3,SOFT,True,1,0
00:42:57.734,27,2,SOFT,True,0,0
00:42:57.734,87,4,MEDIUM,False,9,9
00:43:02.628,22,3,MEDIUM,False,9,8
00:43:32.642,23,4,UNKNOWN,False,0,0
00:43:37.633,55,3,UNKNOWN,False,0,0
00:43:57.638,16,2,MEDIUM,False,10,10
00:44:12.645,5,3,UNKNOWN,False,0,0
00:44:37.646,5,3,MEDIUM,False,9,9
00:44:47.647,1,3,MEDIUM,False,8,8
00:45:02.645,55,3,MEDIUM,False,12,12
00:45:07.645,23,4,MEDIUM,False,12,11
00:46:02.660,12,5,MEDIUM,False,12,12
00:46:12.657,31,3,MEDIUM,False,8,8
00:46:17.661,7,2,MEDIUM,False,12,12
00:46:22.661,81,3,MEDIUM,False,11,11
00:48:27.676,14,6,SOFT,True,0,0
00:48:32.679,14,6,MEDIUM,False,13,13
00:48:52.683,44,2,MEDIUM,False,11,11
00:56:07.722,23,5,MEDIUM,False,19,19
00:57:52.812,27,3,UNKNOWN,False,0,0
00:57:57.837,4,4,MEDIUM,False,18,18
00:57:57.837,27,3,SOFT,False,3,3
01:00:12.861,14,7,SOFT,True,0,0
01:00:57.876,55,4,SOFT,True,0,0
01:01:22.878,23,6,SOFT,True,0,0
01:01:57.892,18,6,UNKNOWN,False,0,0
01:02:02.894,18,6,SOFT,True,0,0
01:02:37.901,22,4,SOFT,True,0,0
01:02:57.901,30,3,SOFT,True,0,0
01:03:12.912,6,3,SOFT,True,0,0
01:03:42.918,1,4,SOFT,True,0,0
01:04:32.919,16,3,UNKNOWN,False,0,0
01:04:38.120,16,3,SOFT,True,0,0
01:04:47.930,81,4,SOFT,True,0,0
01:05:22.928,27,4,SOFT,False,6,6
01:06:07.798,5,4,SOFT,True,0,0
01:06:32.803,4,5,SOFT,True,0,0
01:06:37.803,87,5,SOFT,True,0,0
01:06:42.801,31,4,SOFT,True,0,0
01:06:57.802,44,3,SOFT,True,0,0
01:08:52.878,7,3,SOFT,True,0,0
01:09:12.889,22,5,SOFT,False,3,3
01:09:22.896,10,3,SOFT,True,0,0
