timestamp,driver_number,type,speed,fastest,personal_fastest
00:14:59.078,81,I1,164,True,True
00:15:01.216,10,I1,173,True,True
00:15:10.002,5,I1,197,True,True
00:15:14.444,16,I1,190,False,True
00:15:23.349,55,I1,186,False,True
00:15:33.175,23,I1,175,False,True
00:15:41.737,10,I2,161,True,True
00:15:43.037,81,I2,107,False,True
00:15:43.065,6,I1,202,True,True
00:15:47.762,87,I1,191,False,True
00:15:49.813,5,I2,173,True,True
00:15:54.705,16,I2,153,False,True
00:15:55.955,10,ST,302,True,True
00:15:58.718,30,I1,182,False,True
00:16:00.241,81,ST,219,False,True
00:16:03.628,7,I1,195,False,True
00:16:04.753,55,I2,98,False,True
00:16:08.739,5,ST,157,False,True
00:16:13.991,1,I1,160,False,True
00:16:14.265,23,I2,141,False,True
00:16:18.666,16,ST,109,False,True
00:16:20.927,6,I2,169,False,True
00:16:22.902,55,ST,71,False,True
00:16:23.746,22,I1,157,False,True
00:16:29.324,87,I2,146,False,True
00:16:30.666,23,ST,98,False,True
00:16:34.316,31,I1,186,False,True
00:16:38.451,30,I2,145,False,True
00:16:40.076,10,I1,205,True,False
00:16:41.826,6,ST,232,False,True
00:16:46.932,7,I2,83,False,True
00:16:48.056,81,I1,215,True,False
00:16:48.060,44,I1,126,False,True
00:16:48.775,87,ST,196,False,True
00:16:50.617,12,I1,185,False,True
00:16:55.794,5,I1,214,False,False
00:16:56.024,30,ST,112,False,True
00:17:00.365,1,I2,85,False,True
00:17:01.290,4,I1,150,False,True
00:17:02.389,7,ST,250,False,True
00:17:04.062,16,I1,212,False,False
00:17:05.061,22,I2,84,False,True
00:17:05.216,27,I1,204,False,True
00:17:11.150,55,I1,216,True,False
00:17:14.337,10,I2,187,True,True
00:17:15.975,18,I1,176,False,True
00:17:17.613,31,I2,148,False,True
00:17:17.682,1,ST,274,False,True
00:17:18.269,23,I1,212,False,False
00:17:20.794,14,I1,186,False,True
00:17:22.400,81,I2,188,True,True
00:17:27.098,10,ST,331,True,True
00:17:27.300,22,ST,167,False,True
