timestamp,driver_number,racing_number,duration,lap
01:28:17.163,5,5,22.1,19
01:29:54.877,18,18,22.3,20
01:32:53.445,6,6,22.1,22
01:34:26.627,31,31,23.1,23
01:37:16.272,12,12,24.3,25
01:37:20.470,55,55,22.4,25
01:38:44.449,1,1,22.5,26
01:38:48.174,23,23,21.9,26
01:40:29.722,22,22,22.5,27
01:42:11.034,44,44,23.1,28
01:42:35.467,14,14,23.6,28
01:43:09.990,30,30,22.4,28
01:43:23.825,81,81,22.1,29
01:43:35.275,4,4,22.0,29
01:43:57.234,63,63,24.2,29
01:44:05.335,16,16,22.1,29
01:49:11.167,10,10,22.0,32
01:55:44.422,27,27,22.1,36
