timestamp,utc_time,category,message,flag,scope,sector,message_id
00:06:45.198,2025-05-04T19:05:02,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,
00:13:33.668,2025-05-04T19:20:00,Flag,GREEN LIGHT - PIT EXIT OPEN,GREEN,Track,,1
00:23:33.671,2025-05-04T19:30:00,Other,PIT EXIT CLOSED,,,,2
00:24:40.009,2025-05-04T19:31:07,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,DOUBLE YELLOW,Sector,3.0,3
00:25:20.204,2025-05-04T19:31:47,Flag,CLEAR IN TRACK SECTOR 3,CLEAR,Sector,3.0,4
00:25:23.207,2025-05-04T19:31:50,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,DOUBLE YELLOW,Sector,3.0,5
00:27:34.318,2025-05-04T19:34:01,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,DOUBLE YELLOW,Sector,20.0,6
00:27:35.396,2025-05-04T19:34:02,Other,DRS DISABLED IN ZONE 3,,,,7
00:31:08.050,2025-05-04T19:37:35,Flag,CLEAR IN TRACK SECTOR 3,CLEAR,Sector,3.0,8
00:34:03.662,2025-05-04T19:40:30,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,DOUBLE YELLOW,Sector,7.0,9
00:35:07.398,2025-05-04T19:41:34,Flag,CLEAR IN TRACK SECTOR 7,CLEAR,Sector,7.0,10
00:35:11.047,2025-05-04T19:41:38,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,DOUBLE YELLOW,Sector,7.0,11
00:36:30.151,2025-05-04T19:42:57,Flag,CLEAR IN TRACK SECTOR 7,CLEAR,Sector,7.0,12
00:36:47.527,2025-05-04T19:43:14,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,DOUBLE YELLOW,Sector,7.0,13
00:38:11.149,2025-05-04T19:44:38,Flag,CLEAR IN TRACK SECTOR 7,CLEAR,Sector,7.0,14
00:38:24.975,2025-05-04T19:44:52,Other,DRS ENABLED IN ZONE 3,,,,15
00:38:24.975,2025-05-04T19:44:52,Flag,CLEAR IN TRACK SECTOR 20,CLEAR,Sector,20.0,16
00:38:54.874,2025-05-04T19:45:22,Other,RISK OF RAIN FOR F1 RACE IS 30%,,,,17
00:50:34.561,2025-05-04T19:57:01,Drs,DRS DISABLED,,,,18
00:57:15.575,2025-05-04T20:03:42,Flag,GREEN LIGHT - PIT EXIT OPEN,GREEN,Track,,19
00:57:29.296,2025-05-04T20:03:56,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,DOUBLE YELLOW,Sector,2.0,20
00:57:37.026,2025-05-04T20:04:04,Flag,CLEAR IN TRACK SECTOR 2,CLEAR,Sector,2.0,21
00:57:41.494,2025-05-04T20:04:08,Flag,YELLOW IN TRACK SECTOR 4,YELLOW,Sector,4.0,22
00:57:43.039,2025-05-04T20:04:10,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,DOUBLE YELLOW,Sector,4.0,23
00:57:46.660,2025-05-04T20:04:13,Flag,CLEAR IN TRACK SECTOR 4,CLEAR,Sector,4.0,24
00:57:58.860,2025-05-04T20:04:26,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,DOUBLE YELLOW,Sector,2.0,25
00:58:07.557,2025-05-04T20:04:34,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,,26
00:58:44.861,2025-05-04T20:05:12,Flag,CLEAR IN TRACK SECTOR 2,CLEAR,Sector,2.0,27
00:59:33.321,2025-05-04T20:06:00,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,DOUBLE YELLOW,Sector,13.0,28
00:59:33.351,2025-05-04T20:06:00,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,DOUBLE YELLOW,Sector,14.0,29
00:59:36.621,2025-05-04T20:06:03,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,,,,30
00:59:36.720,2025-05-04T20:06:03,Flag,CLEAR IN TRACK SECTOR 5,CLEAR,Sector,5.0,31
