driver_number,stint_number,compound,new_tire,lap_start,lap_end,stint_length
1,1,MEDIUM,True,1,0,0
1,2,HARD,True,27,57,31
10,1,HARD,True,1,0,0
10,2,MEDIUM,True,33,57,25
12,1,MEDIUM,True,1,0,0
12,2,HARD,True,26,57,32
14,1,HARD,False,1,0,0
14,2,MEDIUM,False,29,56,28
16,1,MEDIUM,True,1,0,0
16,2,HARD,True,30,57,28
18,1,MEDIUM,False,1,0,0
18,2,HARD,False,21,56,36
22,1,MEDIUM,True,1,0,0
22,2,HARD,True,28,57,30
23,1,MEDIUM,True,1,0,0
23,2,HARD,True,27,57,31
27,1,HARD,True,1,0,0
27,2,MEDIUM,True,37,56,20
30,1,HARD,True,1,0,0
30,2,MEDIUM,True,29,36,8
31,1,MEDIUM,True,1,0,0
31,2,HARD,True,24,57,34
4,1,MEDIUM,True,1,0,0
4,2,HARD,True,30,57,28
44,1,HARD,True,1,0,0
44,2,MEDIUM,True,29,57,29
5,1,MEDIUM,True,1,0,0
5,2,HARD,True,20,30,11
55,1,MEDIUM,False,1,0,0
55,2,HARD,True,26,57,32
6,1,MEDIUM,True,1,0,0
6,2,HARD,True,23,57,35
63,1,HARD,True,1,0,0
63,2,MEDIUM,True,30,57,28
81,1,MEDIUM,True,1,0,0
81,2,HARD,True,30,57,28
87,1,HARD,True,1,27,27
