timestamp,driver_number,grid_position
00:00:04.376,1,1
00:00:04.376,4,2
00:00:04.376,12,3
00:00:04.376,81,4
00:00:04.376,63,5
00:00:04.376,55,6
00:00:04.376,23,7
00:00:04.376,16,8
00:00:04.376,31,9
00:00:04.376,22,10
00:00:04.376,6,11
00:00:04.376,44,12
00:00:04.376,5,13
00:00:04.376,7,14
00:00:04.376,30,15
00:00:04.376,27,16
00:00:04.376,14,17
00:00:04.376,18,18
00:00:04.376,87,19
00:00:04.376,10,20
00:57:50.891,4,3
00:57:50.891,12,2
00:57:51.319,4,4
00:57:51.319,81,3
00:57:51.885,4,5
00:57:51.885,63,4
00:57:52.541,4,6
00:57:52.541,55,7
00:57:52.541,23,5
00:57:54.466,31,10
00:57:54.466,22,9
00:57:55.183,44,13
00:57:55.183,5,12
00:57:55.697,7,15
00:57:55.697,30,16
00:57:55.697,27,14
00:57:55.836,7,16
00:57:55.836,30,17
00:57:55.836,14,18
00:57:55.836,18,15
00:57:56.215,7,17
00:57:56.215,30,18
00:57:56.215,14,19
00:57:56.215,87,16
00:57:56.626,7,18
00:57:56.626,30,19
00:57:56.626,14,17
00:57:56.973,7,19
00:57:56.973,30,20
00:57:56.973,10,18
00:58:10.171,7,20
00:58:10.171,30,19
00:58:58.127,44,12
00:58:58.127,5,13
01:04:22.070,12,3
01:04:22.070,81,2
01:04:24.187,4,5
01:04:24.187,23,6
01:04:30.936,6,12
01:04:30.936,44,11
01:05:57.624,55,6
01:05:57.624,23,7
01:09:02.498,4,4
01:09:02.498,63,5
01:12:07.066,4,3
01:12:07.066,12,4
01:12:26.986,14,18
01:12:26.986,10,17
01:19:44.937,1,2
01:19:44.937,81,1
01:19:56.489,55,7
01:19:56.489,23,6
01:26:00.892,1,3
01:26:00.892,4,2
01:27:56.692,5,14
01:27:56.692,27,13
01:27:59.630,5,15
01:27:59.630,18,14
01:28:00.200,5,16
01:28:00.200,87,15
01:29:33.807,18,15
01:29:33.807,87,14
01:29:34.345,5,17
01:29:34.345,18,16
01:29:34.345,10,15
01:29:35.621,5,18
01:29:35.621,14,16
01:29:35.621,18,17
01:31:19.273,5,17
01:31:19.273,18,18
01:32:29.545,31,11
01:32:29.545,44,10
01:32:36.543,6,13
01:32:36.543,27,12
01:34:12.948,6,14
01:34:12.948,87,13
01:34:13.433,6,15
01:34:13.433,10,14
01:34:16.119,6,16
01:34:16.119,14,15
01:35:42.270,31,12
01:35:42.270,27,11
01:35:45.647,31,13
01:35:45.647,87,12
01:35:46.249,31,14
01:35:46.249,10,13
01:35:49.269,31,15
01:35:49.269,14,14
01:35:54.473,31,16
01:35:54.473,6,15
01:36:53.708,12,5
01:36:53.708,63,4
01:36:54.405,12,6
01:36:54.405,23,5
01:36:59.917,55,8
01:36:59.917,16,7
01:37:03.156,55,9
01:37:03.156,22,8
01:38:25.697,1,4
01:38:25.697,63,3
01:38:32.707,12,7
01:38:32.707,16,6
01:38:35.934,12,8
01:38:35.934,22,7
01:38:40.715,12,9
01:38:40.715,55,10
01:38:40.715,44,8
01:38:48.002,55,11
01:38:48.002,27,10
01:40:05.187,1,5
01:40:05.187,23,6
01:40:05.187,16,4
01:40:13.126,23,7
01:40:13.126,22,6
01:40:13.575,23,8
01:40:13.575,44,7
01:40:16.322,12,8
01:40:16.322,23,9
01:40:20.398,55,10
01:40:20.398,27,11
01:40:26.260,87,13
01:40:26.260,10,12
01:41:53.274,22,7
01:41:53.274,44,6
01:41:53.954,12,7
01:41:53.954,22,8
01:41:55.151,23,8
01:41:55.151,22,9
01:41:58.558,55,9
01:41:58.558,22,10
01:42:01.749,22,11
01:42:01.749,27,10
01:42:07.432,22,12
01:42:07.432,10,11
01:42:13.736,6,13
01:42:13.736,14,15
01:42:13.736,87,14
01:42:14.074,31,14
01:42:14.074,14,16
01:42:14.074,87,15
01:42:17.285,14,15
01:42:17.285,87,16
01:42:20.485,5,16
01:42:20.485,87,17
01:42:27.132,18,17
01:42:27.132,87,18
01:42:53.124,30,18
01:42:53.124,87,19
01:43:58.834,12,6
01:43:58.834,44,7
01:43:59.508,23,7
01:43:59.508,44,8
01:44:03.848,55,8
01:44:03.848,44,9
01:44:06.860,44,10
01:44:06.860,27,9
01:44:22.149,5,15
01:44:22.149,14,16
01:45:26.110,1,4
01:45:26.110,16,5
01:45:30.625,12,5
01:45:30.625,16,6
01:45:30.751,23,6
01:45:30.751,16,7
01:45:39.375,44,9
01:45:39.375,27,10
01:45:42.537,22,11
01:45:42.537,10,12
01:45:58.952,5,16
01:45:58.952,14,15
01:45:59.950,5,17
01:45:59.950,18,16
01:47:01.832,12,6
01:47:01.832,23,5
01:47:08.142,55,7
01:47:08.142,16,8
01:47:55.937,5,18
01:47:55.937,30,17
01:48:53.277,6,12
01:48:53.277,10,13
01:50:49.468,31,13
01:50:49.468,10,14
01:52:12.116,55,8
01:52:12.116,16,7
01:52:12.579,55,9
01:52:12.579,44,8
01:52:17.117,22,10
01:52:17.117,27,11
01:55:23.358,6,11
01:55:23.358,27,12
01:55:23.858,31,12
01:55:23.858,27,13
01:57:03.640,27,14
01:57:03.640,10,13
01:58:15.539,16,8
01:58:15.539,44,7
02:19:31.127,16,7
02:19:31.127,44,8
02:27:15.789,22,11
02:27:15.789,6,10
02:27:16.799,22,10
02:27:16.799,6,11
