timestamp,driver_number,lap_time,fastest,personal_fastest
01:00:42.595,1,1:51.128,True,True
01:00:44.947,12,1:52.276,False,True
01:00:45.624,81,1:52.677,False,True
01:00:46.818,63,1:52.831,False,True
01:00:48.150,23,1:53.640,False,True
01:00:50.056,4,1:55.086,False,True
01:00:50.957,55,1:55.407,False,True
01:00:52.768,16,1:56.383,False,True
01:00:53.471,22,1:56.508,False,True
01:00:54.958,31,1:57.623,False,True
01:00:57.335,6,1:59.426,False,True
01:00:57.621,44,1:59.324,False,True
01:00:59.929,5,2:01.110,False,True
01:01:01.772,27,2:02.663,False,True
01:01:04.013,18,2:04.499,False,True
01:01:05.042,87,2:04.627,False,True
01:01:05.783,14,2:05.043,False,True
01:01:07.020,10,2:05.704,False,True
01:01:13.572,30,2:01.748,False,True
01:02:48.498,1,2:05.946,False,False
01:02:49.836,12,2:04.905,False,False
01:02:50.130,81,2:04.620,False,False
01:02:50.900,63,2:04.090,False,False
01:02:51.799,23,2:03.540,False,False
01:02:52.145,4,2:02.001,False,False
01:02:52.911,55,2:01.936,False,False
01:02:54.064,16,2:01.385,False,False
01:02:55.456,22,2:01.976,False,False
01:02:56.486,31,2:01.586,False,False
01:02:58.550,6,2:01.095,False,False
01:02:58.570,44,2:00.931,False,False
01:02:58.888,5,1:58.970,False,False
01:02:59.589,27,1:57.784,False,False
01:03:00.283,18,1:56.297,False,False
01:03:01.047,87,1:56.005,False,False
01:03:01.498,14,1:55.758,False,False
01:03:02.683,10,1:55.733,False,False
01:03:11.479,30,1:57.913,False,False
01:04:21.075,1,1:32.569,True,True
01:04:22.070,81,1:31.920,True,True
01:04:22.901,12,1:33.016,False,True
01:04:23.499,63,1:32.646,False,True
01:04:24.187,4,1:32.128,False,True
01:04:24.828,23,1:33.079,False,True
01:04:25.437,55,1:32.521,False,True
01:04:26.843,16,1:32.763,False,True
01:04:28.452,22,1:32.955,False,True
01:04:29.236,31,1:32.670,False,True
01:04:30.936,44,1:32.412,False,True
01:04:33.024,6,1:34.546,False,True
01:04:33.412,5,1:34.522,False,False
01:04:33.701,27,1:34.181,False,False
01:04:34.210,18,1:33.892,False,False
01:04:34.836,87,1:33.844,False,False
01:04:35.141,14,1:33.693,False,False
01:04:36.687,10,1:34.054,False,False
01:04:44.664,30,1:33.315,False,False
01:05:53.237,1,1:32.133,False,False
01:05:54.517,81,1:32.282,False,False
01:05:55.715,12,1:32.859,False,False
01:05:56.248,63,1:32.779,False,False
01:05:56.862,4,1:32.639,False,False
01:05:57.624,55,1:32.332,False,False
01:05:58.703,23,1:33.836,False,False
01:05:59.397,16,1:32.509,False,False
01:06:01.274,22,1:32.945,False,False
01:06:01.998,31,1:32.756,False,False
01:06:03.869,44,1:32.899,False,False
01:06:05.963,6,1:32.963,False,False
01:06:06.666,5,1:33.194,False,False
01:06:07.228,27,1:33.552,False,False
01:06:08.135,18,1:33.896,False,False
01:06:08.762,87,1:33.888,False,False
01:06:09.236,14,1:34.064,False,False
01:06:10.848,10,1:34.123,False,False
01:06:19.285,30,1:34.526,False,False
01:07:25.241,1,1:32.096,False,False
01:07:26.460,81,1:32.047,False,False
01:07:28.531,12,1:32.883,False,False
01:07:29.273,63,1:33.036,False,False
01:07:29.485,4,1:32.634,False,False
01:07:30.968,55,1:33.317,False,False
01:07:31.899,23,1:33.206,False,False
01:07:32.746,16,1:33.363,False,False
01:07:34.438,22,1:33.036,False,False
01:07:35.102,31,1:33.113,False,False
01:07:37.330,44,1:33.410,False,False
01:07:39.169,6,1:33.291,False,False
01:07:39.776,5,1:33.134,False,False
01:07:40.620,27,1:33.311,False,False
01:07:41.245,18,1:33.212,False,True
01:07:42.229,87,1:33.489,False,True
01:07:42.958,14,1:33.695,False,False
01:07:45.136,10,1:34.295,False,False
01:07:53.624,30,1:34.334,False,False
01:08:57.385,1,1:32.083,False,False
01:08:58.698,81,1:32.197,False,False
01:09:01.558,12,1:33.029,False,False
01:09:02.498,4,1:33.008,False,False
01:09:03.685,63,1:34.362,False,False
01:09:04.067,55,1:33.029,False,False
01:09:04.860,23,1:32.982,False,True
01:09:05.760,16,1:33.047,False,False
01:09:07.444,22,1:33.076,False,False
01:09:08.115,31,1:33.054,False,False
01:09:10.285,44,1:32.960,False,False
01:09:12.385,6,1:33.114,False,False
01:09:13.364,5,1:33.607,False,False
01:09:14.119,27,1:33.576,False,False
01:09:14.964,18,1:33.581,False,False
01:09:15.624,87,1:33.424,False,False
01:09:16.438,14,1:33.485,False,True
01:09:19.170,10,1:34.019,False,True
01:09:27.578,30,1:34.046,False,False
01:10:30.038,1,1:32.583,False,False
01:10:30.666,81,1:31.985,False,False
01:10:34.524,12,1:32.945,False,False
01:10:35.002,4,1:32.427,False,False
01:10:36.764,63,1:33.136,False,False
01:10:37.307,55,1:33.230,False,False
01:10:37.979,23,1:33.117,False,False
01:10:39.120,16,1:33.415,False,False
01:10:40.698,22,1:33.187,False,False
01:10:41.245,31,1:33.145,False,False
01:10:43.488,44,1:33.229,False,False
01:10:45.637,6,1:33.342,False,False
01:10:46.909,5,1:33.594,False,False
01:10:47.502,27,1:33.415,False,False
01:10:48.319,18,1:33.469,False,False
01:10:49.188,87,1:33.550,False,False
01:10:49.766,14,1:33.387,False,False
01:10:53.237,10,1:34.087,False,False
01:11:01.751,30,1:34.137,False,False
01:12:02.539,1,1:32.406,False,False
01:12:02.862,81,1:32.236,False,False
01:12:07.066,4,1:32.146,False,False
01:12:08.263,12,1:33.684,False,False
01:12:09.801,63,1:32.951,False,False
01:12:10.344,55,1:33.100,False,False
01:12:10.968,23,1:33.014,False,False
01:12:12.264,16,1:33.033,False,False
01:12:13.869,22,1:33.272,False,False
01:12:15.304,31,1:34.012,False,False
01:12:16.667,44,1:33.164,False,False
01:12:19.011,6,1:33.399,False,False
01:12:20.301,5,1:33.269,False,False
01:12:21.123,27,1:33.517,False,False
01:12:22.033,18,1:33.621,False,False
01:12:22.930,87,1:33.626,False,False
01:12:26.986,10,1:33.727,False,True
01:12:30.780,14,1:41.044,False,False
01:12:35.895,30,1:34.094,False,False
01:13:34.790,1,1:32.392,False,False
01:13:34.938,81,1:32.076,False,False
01:13:39.041,4,1:31.901,True,True
01:13:41.163,12,1:33.004,False,False
01:13:43.035,63,1:33.161,False,False
01:13:43.250,55,1:32.906,False,False
01:13:43.814,23,1:32.834,False,True
01:13:45.093,16,1:32.850,False,False
01:13:47.005,22,1:33.145,False,False
01:13:48.526,31,1:33.278,False,False
01:13:49.422,44,1:32.876,False,False
01:13:52.312,6,1:33.205,False,False
01:13:53.643,5,1:33.439,False,False
01:13:54.655,27,1:33.584,False,False
01:13:55.856,18,1:33.843,False,False
01:13:56.666,87,1:33.757,False,False
01:14:00.402,10,1:33.430,False,False
01:14:04.086,14,1:33.184,False,True
01:14:10.062,30,1:34.204,False,False
01:15:07.348,1,1:32.595,False,False
01:15:07.826,81,1:32.900,False,False
01:15:10.725,4,1:31.700,False,False
01:15:14.073,12,1:32.790,False,True
01:15:15.610,63,1:32.670,False,False
01:15:16.987,55,1:33.652,False,False
01:15:17.315,23,1:33.569,False,False
01:15:18.689,16,1:33.558,False,False
01:15:20.258,22,1:33.219,False,False
01:15:21.887,31,1:33.257,False,False
01:15:22.962,44,1:33.328,False,False
01:15:25.347,6,1:33.095,False,False
01:15:27.198,5,1:33.561,False,False
01:15:28.424,27,1:33.736,False,False
01:15:29.467,18,1:33.678,False,False
01:15:30.317,87,1:33.726,False,False
01:15:33.627,10,1:33.253,False,False
01:15:43.962,30,1:33.990,False,False
01:16:39.699,1,1:32.236,False,False
01:16:40.084,81,1:32.253,False,False
01:16:42.645,4,1:31.905,False,False
01:16:46.776,12,1:32.725,False,False
01:16:48.426,63,1:32.836,False,False
01:16:50.298,55,1:33.379,False,False
01:16:50.840,23,1:33.515,False,False
01:16:51.742,16,1:33.096,False,False
01:16:53.599,22,1:33.239,False,False
01:16:54.947,31,1:33.153,False,False
01:16:55.777,44,1:33.039,False,False
01:16:58.552,6,1:33.235,False,False
01:17:00.689,5,1:33.381,False,False
01:17:01.804,27,1:33.441,False,False
01:17:02.975,18,1:33.547,False,False
01:17:03.687,87,1:33.360,False,True
01:17:06.963,10,1:33.244,False,False
01:17:09.764,14,1:32.548,False,False
01:17:18.062,30,1:34.087,False,False
01:18:11.970,1,1:32.272,False,False
01:18:12.081,81,1:31.879,False,True
01:18:14.345,4,1:31.745,False,False
01:18:19.528,12,1:32.745,False,False
01:18:21.278,63,1:32.829,False,False
01:18:23.441,55,1:33.044,False,False
01:18:23.941,23,1:33.031,False,False
01:18:24.770,16,1:33.112,False,False
01:18:26.793,22,1:33.225,False,False
01:18:28.110,31,1:33.061,False,False
01:18:28.767,44,1:32.844,False,False
01:18:31.727,6,1:33.145,False,False
01:18:34.051,5,1:33.402,False,False
01:18:35.188,27,1:33.390,False,False
01:18:36.803,18,1:33.825,False,False
01:18:37.277,87,1:33.637,False,False
01:18:40.092,10,1:33.113,False,False
01:18:42.764,14,1:32.982,False,False
01:18:52.426,30,1:34.351,False,False
01:19:44.937,81,1:32.986,False,False
01:19:46.643,1,1:34.727,False,False
01:19:46.838,4,1:32.333,False,False
01:19:52.116,12,1:32.692,False,True
01:19:53.968,63,1:32.719,False,False
01:19:56.489,23,1:32.701,False,True
01:19:56.964,55,1:33.614,False,False
01:19:58.443,16,1:33.600,False,False
01:19:59.864,22,1:33.105,False,False
01:20:01.264,31,1:33.214,False,False
01:20:01.726,44,1:33.067,False,False
01:20:05.379,6,1:33.641,False,False
01:20:07.178,5,1:33.203,False,False
01:20:08.809,27,1:33.560,False,False
01:20:11.076,18,1:34.221,False,False
01:20:11.636,87,1:34.268,False,False
01:20:13.328,10,1:33.309,False,False
01:20:15.942,14,1:33.132,False,False
01:20:27.077,30,1:34.598,False,False
01:21:16.641,81,1:31.816,False,True
01:21:20.316,1,1:33.736,False,False
01:21:20.717,4,1:33.943,False,False
01:21:25.004,12,1:32.902,False,False
01:21:26.690,63,1:32.755,False,False
01:21:29.665,23,1:32.968,False,False
01:21:30.605,55,1:33.538,False,False
01:21:31.849,16,1:33.409,False,False
01:21:33.306,22,1:33.489,False,False
01:21:34.643,31,1:33.377,False,False
01:21:35.089,44,1:33.369,False,False
01:21:38.678,6,1:33.241,False,False
01:21:40.849,5,1:33.547,False,False
01:21:42.547,27,1:33.743,False,False
01:21:44.721,18,1:33.694,False,False
01:21:45.516,87,1:33.878,False,False
01:21:47.018,10,1:33.775,False,False
01:21:49.114,14,1:33.290,False,False
01:22:01.743,30,1:34.692,False,False
01:22:48.527,81,1:31.687,True,False
01:22:53.468,1,1:33.178,False,False
01:22:53.806,4,1:33.099,False,False
01:22:57.929,12,1:32.878,False,False
01:22:59.605,63,1:32.886,False,False
01:23:02.279,23,1:32.612,False,True
01:23:03.417,55,1:32.915,False,False
01:23:05.127,16,1:33.207,False,False
01:23:06.742,22,1:33.366,False,False
01:23:08.343,31,1:33.697,False,False
01:23:08.680,44,1:33.513,False,False
01:23:11.735,6,1:33.151,False,False
01:23:14.628,5,1:33.778,False,False
01:23:16.117,27,1:33.591,False,False
01:23:18.743,18,1:33.913,False,False
