timestamp,driver_number,type,speed,fastest,personal_fastest
00:57:50.360,1,I1,213,True,True
00:57:50.891,12,I1,207,False,True
00:57:51.319,81,I1,211,False,True
00:57:51.885,63,I1,207,False,True
00:57:52.541,23,I1,210,False,True
00:57:52.982,4,I1,208,False,True
00:57:53.623,55,I1,212,False,True
00:57:54.090,16,I1,210,False,True
00:57:54.466,22,I1,204,False,True
00:57:54.711,31,I1,201,False,True
00:57:54.736,6,I1,208,False,True
00:57:55.183,5,I1,205,False,True
00:57:55.471,44,I1,208,False,True
00:57:55.697,27,I1,209,False,True
00:57:55.836,18,I1,211,False,True
00:57:56.215,87,I1,210,False,True
00:57:56.626,14,I1,208,False,True
00:57:56.973,10,I1,209,False,True
00:58:10.171,30,I1,205,False,True
00:58:17.357,7,I1,83,False,True
00:58:25.009,1,I2,184,True,True
00:58:26.360,12,I2,183,False,True
00:58:26.920,81,I2,185,True,True
00:58:27.596,63,I2,184,False,True
00:58:28.149,23,I2,183,False,True
00:58:28.913,4,I2,182,False,True
00:58:29.319,55,I2,182,False,True
00:58:29.895,16,I2,185,False,True
00:58:30.635,22,I2,183,False,True
00:58:31.066,31,I2,186,True,True
00:58:31.494,6,I2,183,False,True
00:58:31.920,44,I2,186,False,True
00:58:32.419,5,I2,184,False,True
00:58:32.795,27,I2,187,True,True
00:58:33.178,18,I2,185,False,True
00:58:33.741,87,I2,185,False,True
00:58:34.170,14,I2,182,False,True
00:58:34.757,10,I2,182,False,True
00:58:38.320,1,ST,302,True,True
00:58:39.393,12,ST,313,True,True
00:58:39.619,81,ST,312,False,True
00:58:40.551,63,ST,312,False,True
00:58:41.022,23,ST,311,False,True
00:58:41.720,4,ST,313,True,True
00:58:42.088,55,ST,312,False,True
00:58:42.882,16,ST,282,False,True
00:58:43.599,22,ST,307,False,True
00:58:44.101,31,ST,314,True,True
00:58:44.474,6,ST,305,False,True
00:58:44.783,44,ST,309,False,True
00:58:45.223,5,ST,310,False,True
00:58:45.523,27,ST,309,False,True
00:58:45.726,30,I2,185,False,True
00:58:46.028,18,ST,326,True,True
00:58:46.747,87,ST,314,False,True
00:58:47.122,14,ST,299,False,True
00:58:47.619,10,ST,309,False,True
00:58:58.685,30,ST,308,False,True
00:59:22.919,1,I1,208,False,False
00:59:24.473,12,I1,209,False,False
00:59:24.993,81,I1,209,False,False
00:59:25.767,63,I1,204,False,False
00:59:27.137,4,I1,210,False,False
00:59:27.959,55,I1,205,False,False
00:59:28.391,16,I1,203,False,False
00:59:29.004,22,I1,206,False,False
00:59:29.625,31,I1,210,False,False
00:59:30.671,44,I1,211,False,False
00:59:31.573,5,I1,211,False,False
00:59:31.903,27,I1,213,False,False
00:59:32.305,18,I1,209,False,False
00:59:32.897,87,I1,209,False,False
00:59:33.137,14,I1,214,True,False
00:59:33.760,10,I1,208,False,False
00:59:51.560,30,I1,104,False,False
01:00:10.734,1,I2,130,False,False
01:00:12.434,12,I2,130,False,False
01:00:13.582,81,I2,148,False,False
01:00:13.934,63,I2,157,False,False
01:00:15.635,23,I2,158,False,False
01:00:18.520,4,I2,149,False,False
01:00:19.639,55,I2,154,False,False
01:00:21.411,16,I2,161,False,False
01:00:22.985,22,I2,139,False,False
01:00:24.310,31,I2,152,False,False
01:00:26.246,1,ST,257,False,False
01:00:27.772,6,I2,142,False,False
01:00:28.182,12,ST,246,False,False
01:00:28.491,44,I2,149,False,False
01:00:29.580,81,ST,197,False,False
01:00:30.062,63,ST,154,False,False
01:00:30.200,5,I2,153,False,False
01:00:31.073,23,ST,159,False,False
01:00:32.421,27,I2,157,False,False
01:00:33.534,4,ST,212,False,False
01:00:34.339,18,I2,154,False,False
01:00:34.534,55,ST,215,False,False
01:00:35.438,87,I2,140,False,False
01:00:36.311,16,ST,201,False,False
01:00:36.542,14,I2,168,False,False
01:00:37.745,22,ST,272,False,False
01:00:38.182,10,I2,153,False,False
01:00:39.561,31,ST,229,False,False
01:00:42.666,30,I2,153,False,False
01:00:42.771,6,ST,261,False,False
01:00:43.527,44,ST,268,False,False
01:00:45.200,5,ST,246,False,False
01:00:47.334,27,ST,236,False,False
01:00:48.884,18,ST,203,False,False
01:00:50.363,87,ST,219,False,False
01:00:50.839,14,ST,216,False,False
01:00:52.611,10,ST,254,False,False
01:00:57.411,30,ST,250,False,False
01:01:26.398,1,I1,143,False,False
01:01:28.320,12,I1,139,False,False
01:01:29.048,81,I1,130,False,False
01:01:30.489,63,I1,150,False,False
01:01:31.536,23,I1,146,False,False
01:01:32.861,4,I1,127,False,False
01:01:34.294,55,I1,122,False,False
01:01:35.414,16,I1,149,False,False
01:01:36.088,22,I1,147,False,False
01:01:36.861,31,I1,160,False,False
01:01:37.217,6,I1,170,False,False
01:01:37.820,44,I1,167,False,False
01:01:38.475,5,I1,172,False,False
01:01:39.658,27,I1,165,False,False
01:01:40.477,18,I1,173,False,False
01:01:40.935,87,I1,156,False,False
01:01:41.506,14,I1,190,False,False
01:01:42.306,10,I1,176,False,False
01:01:57.174,30,I1,170,False,False
01:02:15.170,1,I2,178,False,False
01:02:17.401,12,I2,164,False,False
01:02:19.065,81,I2,156,False,False
01:02:19.470,63,I2,173,False,False
01:02:21.472,23,I2,174,False,False
01:02:24.025,4,I2,154,False,False
01:02:25.223,55,I2,165,False,False
01:02:26.973,16,I2,170,False,False
01:02:28.301,22,I2,159,False,False
01:02:29.583,31,I2,164,False,False
01:02:31.173,6,I2,159,False,False
01:02:31.808,44,I2,150,False,False
01:02:32.241,5,I2,165,False,False
01:02:32.862,27,I2,180,False,False
01:02:33.326,1,ST,195,False,False
01:02:34.221,18,I2,182,False,False
01:02:34.313,12,ST,192,False,False
01:02:34.696,87,I2,174,False,False
01:02:35.361,81,ST,176,False,False
01:02:35.361,14,I2,185,False,True
01:02:36.261,10,I2,173,False,False
01:02:36.261,63,ST,218,False,False
01:02:37.087,23,ST,227,False,False
01:02:38.420,4,ST,228,False,False
01:02:38.907,55,ST,256,False,False
01:02:40.901,16,ST,300,False,True
01:02:42.443,22,ST,308,False,True
01:02:43.410,31,ST,307,False,False
01:02:45.138,6,ST,315,False,True
01:02:45.412,30,I2,185,False,True
01:02:45.412,44,ST,317,False,True
01:02:45.614,5,ST,280,False,False
01:02:45.947,27,ST,262,False,False
01:02:47.048,18,ST,313,False,False
01:02:47.867,87,ST,322,False,True
01:02:48.135,14,ST,314,False,True
01:02:49.395,10,ST,298,False,False
01:02:58.189,30,ST,308,False,True
01:03:19.647,1,I1,204,False,False
01:03:21.200,12,I1,209,False,False
01:03:21.577,81,I1,212,False,True
01:03:22.411,63,I1,208,False,True
01:03:23.199,23,I1,211,False,True
01:03:23.599,4,I1,210,False,False
01:03:24.589,55,I1,207,False,False
01:03:25.710,16,I1,204,False,False
01:03:26.958,22,I1,206,False,True
01:03:28.006,31,I1,210,False,True
01:03:29.837,44,I1,209,False,False
01:03:31.137,6,I1,206,False,False
01:03:31.636,5,I1,211,False,True
01:03:32.004,27,I1,212,False,False
01:03:32.653,18,I1,209,False,False
01:03:33.139,87,I1,211,False,True
01:03:33.683,14,I1,209,False,False
01:03:34.761,10,I1,209,False,False
01:03:43.379,30,I1,211,False,True
01:03:54.821,1,I2,183,False,False
01:03:55.988,81,I2,185,False,False
01:03:56.799,12,I2,181,False,False
01:03:57.464,63,I2,184,False,True
01:03:58.321,4,I2,183,False,True
01:03:58.751,23,I2,183,False,False
01:03:59.521,55,I2,183,False,True
01:04:00.729,16,I2,183,False,False
01:04:02.321,22,I2,181,False,False
01:04:03.373,31,I2,185,False,False
01:04:04.952,44,I2,185,False,False
01:04:06.629,6,I2,183,False,False
01:04:07.199,5,I2,184,False,False
01:04:07.550,27,I2,186,False,False
01:04:08.084,1,ST,303,False,True
01:04:08.136,18,I2,184,False,False
01:04:08.784,87,I2,183,False,False
01:04:09.034,81,ST,306,False,False
01:04:09.295,14,I2,184,False,False
01:04:09.673,12,ST,324,False,True
01:04:10.258,63,ST,328,True,True
01:04:10.555,10,I2,182,False,True
01:04:10.985,4,ST,313,False,True
